Date,MMM,AOS,ABT,ABBV,ACN
2023-08-16,78.61812591552734,68.15116119384766,100.92105865478516,142.09103393554688,298.7647705078125
2023-08-17,79.40596008300781,67.60820770263672,101.3072509765625,140.65652465820312,296.8224182128906
2023-08-18,79.17636108398438,66.82284545898438,100.1293716430664,140.76905822753906,294.2003173828125
2023-08-21,78.52717590332031,66.76467895507812,100.28384399414062,140.78782653808594,297.6673583984375
2023-08-22,77.98883819580078,67.3076400756836,101.5196533203125,138.9876251220703,299.9883728027344
2023-08-23,78.89134979248047,67.8506088256836,101.50035095214844,137.90005493164062,306.2425842285156
2023-08-24,77.98092651367188,66.70650482177734,100.16800689697266,137.47811889648438,305.0772399902344
2023-08-25,78.33718872070312,67.62759399414062,100.61211395263672,137.53436279296875,309.56396484375
2023-08-28,82.43018341064453,68.55839538574219,99.24114227294922,138.22817993164062,311.6518859863281
2023-08-29,83.57814025878906,69.67338562011719,100.28384399414062,138.37820434570312,314.11865234375
2023-08-30,82.69143676757812,70.0999984741211,100.80520629882812,139.0626678466797,313.9244079589844
2023-08-31,84.448974609375,70.29391479492188,99.34734344482422,137.78753662109375,314.4294128417969
2023-09-01,84.670654296875,71.33136749267578,99.29905700683594,138.95013427734375,318.2848205566406
2023-09-05,84.59148406982422,69.75096893310547,97.39707946777344,136.98121643066406,316.75048828125
2023-09-06,84.21146392822266,69.66368865966797,98.05359649658203,136.52178955078125,316.88641357421875
2023-09-07,83.87895965576172,69.53765869140625,97.19432830810547,139.61581420898438,318.7315979003906
2023-09-08,84.10855102539062,68.05420684814453,97.25225830078125,139.71896362304688,316.0803527832031
2023-09-11,85.41484069824219,68.3644790649414,98.91287994384766,139.73768615722656,316.46881103515625
2023-09-12,84.83690643310547,66.192626953125,98.86459350585938,139.95333862304688,305.8056335449219
2023-09-13,79.99970245361328,65.07762908935547,99.14459228515625,141.7253875732422,304.8538513183594
2023-09-14,81.00515747070312,65.67876434326172,99.10597229003906,144.05059814453125,307.45654296875
